danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.703,0.832,0,-7.202,0,0.0689,0.00149,0.127,0.0696,0.667,122.029,196489,4,edm
0.705,0.937,3,-3.868,0,0.0963,0.0362,0.000271,0.178,0.786,124.999,195840,4,edm
0.625,0.576,8,-5.812,1,0.036,0.217,0.00000285,0.0897,0.297,121.915,218306,4,edm
0.601,0.99,6,-3.016,1,0.337,0.00116,0.52,0.124,0.192,127.958,148125,4,edm
0.784,0.913,1,-1.208,1,0.177,0.0114,0.00162,0.0831,0.59,126.054,199048,4,edm
0.584,0.959,9,-1.785,0,0.0942,0.00272,0,0.553,0.0729,125.987,172381,4,edm
0.626,0.755,6,-10.491,0,0.0337,0.14,0.386,0.0938,0.372,122.008,347213,4,edm
0.695,0.848,3,-6.068,0,0.0506,0.00916,0.109,0.12,0.797,122.028,181000,4,edm
0.675,0.888,3,-3.473,0,0.0967,0.124,0.0248,0.076,0.439,123.919,180638,4,edm
0.603,0.882,2,-3.13,1,0.0338,0.0494,0.0132,0.241,0.507,120.996,189493,4,edm
0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417,4,edm
0.562,0.871,0,-4.788,1,0.0646,0.341,0.00000147,0.351,0.351,130.043,196615,4,edm
0.677,0.848,7,-6.14,0,0.0741,0.0154,0.00111,0.277,0.469,125.068,208096,4,edm
0.699,0.94,8,-5.969,0,0.208,0.0853,0,0.336,0.652,122.079,253770,3,edm
0.701,0.933,7,-5.35,0,0.0407,0.121,0.924,0.0842,0.726,123.992,203347,4,edm
0.653,0.946,5,-3.757,0,0.0556,0.00812,0.000207,0.126,0.653,125.966,165714,4,edm
0.25,0.909,4,-5.407,1,0.0414,0.00909,0.848,0.136,0.322,128.025,226875,4,edm
0.507,0.887,5,-4.084,0,0.141,0.00731,0,0.562,0.336,128.015,247505,4,edm
0.538,0.904,10,-4.58,1,0.0551,0.00168,0.637,0.538,0.0731,123.989,181935,4,edm
0.542,0.996,4,-3.124,1,0.0623,0.0172,0.0777,0.614,0.263,125.949,190822,4,edm
0.706,0.882,8,-4.209,1,0.0637,0.0777,0.0169,0.61,0.215,122.932,202927,4,edm
0.497,0.925,2,-4.489,1,0.0745,0.00523,0.781,0.222,0.262,139.961,207827,4,edm
0.691,0.924,0,-3.839,1,0.0577,0.00828,0.0000038,0.402,0.34,125.983,158095,4,edm
0.59,0.678,10,-5.48,1,0.0384,0.0259,0.000022,0.0707,0.4,126.061,178132,4,edm
0.864,0.743,7,-6.431,1,0.0889,0.00504,0.0708,0.059,0.887,117.937,166723,4,edm
0.636,0.908,0,-3.01,0,0.0591,0.0324,0.00309,0.0883,0.353,127.994,166868,4,edm
0.634,0.632,5,-4.52,0,0.0313,0.0129,0.000453,0.116,0.449,128.075,210005,4,edm
0.479,0.919,0,-3.443,1,0.153,0.116,0.000139,0.152,0.388,127.001,215488,4,edm
0.285,0.694,11,-3.358,1,0.0482,0.511,0.000128,0.374,0.163,170.124,221294,4,edm
0.717,0.752,0,-6.933,1,0.065,0.251,0.000468,0.0802,0.14,123.97,281267,4,edm
0.679,0.985,7,-3.357,1,0.0617,0.102,0.0107,0.33,0.462,124.953,191160,4,edm
0.599,0.57,10,-7.531,1,0.0248,0.0273,0.000316,0.116,0.299,129.994,241500,4,edm
